Count,Country,State,City,Zip Code,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,CLTV,Service Count,Charge Category,Tenure Group,Avg Monthly Spend,High Value Customer,Family Customer,Long Term Customer,Internet User
1,United States,California,Avalon,90704,Female,No,Yes,No,25,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,1,4190,6,Medium,Loyal,60.106,0,0,1,1
1,United States,California,Harbor City,90710,Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,35.45,1,2301,2,Medium,New,35.45,0,0,0,1
1,United States,California,Lakewood,90712,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,81.25,1,2570,2,Medium,New,40.625,0,0,0,1
1,United States,California,Los Alamitos,90720,Female,Yes,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,1,3964,2,High,New,70.45,0,1,0,1
1,United States,California,San Pedro,90731,Female,No,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,563.65,1,2662,6,High,New,70.45625,0,0,0,1
1,United States,California,Carson,90745,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,1,2600,2,Medium,New,45.65,0,0,0,1
1,United States,California,Long Beach,90804,Male,No,No,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,655.5,1,2786,5,High,New,93.64285714285714,0,0,0,1
1,United States,California,Altadena,91001,Female,No,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.4,1592.35,1,5719,4,High,Regular,79.61749999999999,1,1,0,1
1,United States,California,Monrovia,91016,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,273.0,1,4287,2,High,New,68.25,0,0,0,1
1,United States,California,Sierra Madre,91024,Male,Yes,Yes,No,58,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.3,2651.2,1,5444,4,Medium,Very Loyal,45.710344827586205,1,0,1,1
1,United States,California,Tujunga,91042,Female,No,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,1,4690,7,High,New,121.4,1,1,0,1
1,United States,California,Pasadena,91103,Female,No,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2,1,4328,5,High,Very Loyal,94.3433962264151,0,0,1,1
1,United States,California,Pasadena,91106,Female,Yes,No,Yes,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.45,1145.7,1,5717,3,High,Regular,76.38000000000001,1,0,0,1
1,United States,California,Pasadena,91107,Female,Yes,No,Yes,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,503.6,1,4419,3,High,New,71.94285714285715,0,0,0,1
1,United States,California,Glendale,91202,Female,No,No,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.95,29.95,1,4534,2,Low,New,29.95,1,0,0,1
1,United States,California,Glendale,91204,Male,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.5,662.65,1,2152,4,High,New,82.83125,0,0,0,1
1,United States,California,Glendale,91206,Female,No,No,Yes,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.25,1111.65,1,5142,4,High,Regular,85.51153846153846,1,0,0,1
1,United States,California,Glendale,91207,Female,No,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,1,4851,1,Low,New,24.8,1,0,0,1
1,United States,California,Canoga Park,91304,Male,No,Yes,Yes,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91.0,531.0,1,2283,5,High,New,88.5,0,1,0,1
1,United States,California,Mission Hills,91345,Male,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.9,79.9,1,3394,3,High,New,79.9,0,0,0,1
1,United States,California,Santa Clarita,91350,Female,No,No,Yes,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.6,1934.45,1,3764,7,High,Regular,101.81315789473685,0,0,0,1
1,United States,California,Sun Valley,91352,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46.0,84.5,1,2667,2,Medium,New,42.25,0,0,0,1
1,United States,California,Stevenson Ranch,91381,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,268.35,1,2227,2,High,New,67.0875,0,0,0,1
1,United States,California,Panorama City,91402,Male,No,Yes,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50.05,179.35,1,3394,3,Medium,New,44.8375,0,0,0,1
1,United States,California,Van Nuys,91411,Female,No,Yes,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.2,55.2,1,3638,3,Medium,New,55.2,0,0,0,1
1,United States,California,Burbank,91504,Male,No,No,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.6,84.6,1,2484,4,High,New,84.6,0,0,0,1
1,United States,California,North Hollywood,91601,Male,No,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.4,114.1,1,2556,4,Medium,New,57.05,0,0,0,1
1,United States,California,North Hollywood,91605,Female,Yes,No,Yes,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3,1,5980,5,High,New,101.84545454545454,1,0,0,1
1,United States,California,Covina,91722,Male,Yes,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,1074.3,1,4616,3,High,Regular,71.61999999999999,1,0,0,1
1,United States,California,Covina,91723,Male,No,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.55,48.55,1,5687,3,Medium,New,48.55,1,0,0,1
1,United States,California,El Monte,91731,Female,No,Yes,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.4,147.15,1,5687,2,High,New,73.575,1,0,0,1
1,United States,California,El Monte,91732,Male,Yes,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,40.2,40.2,1,5828,3,Medium,New,40.2,1,0,0,1
1,United States,California,La Puente,91744,Female,No,Yes,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.6,80.55,1,4884,2,Medium,New,40.275,1,0,0,1
1,United States,California,La Puente,91746,Male,Yes,No,No,3,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,132.2,1,2314,3,Medium,New,44.06666666666666,0,0,0,1
1,United States,California,Rowland Heights,91748,Male,Yes,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,1364.3,1,2494,7,High,Regular,104.94615384615383,0,0,0,1
1,United States,California,Ontario,91762,Male,No,No,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.35,1099.6,1,5084,1,Low,Very Loyal,18.63728813559322,1,0,1,0
1,United States,California,Ontario,91764,Female,Yes,No,No,16,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.45,1511.2,1,3810,5,High,Regular,94.45,0,0,0,1
1,United States,California,Pomona,91766,Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24.8,24.8,1,5087,1,Low,New,24.8,1,0,0,1
1,United States,California,Pomona,91768,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.6,70.6,1,3338,2,High,New,70.6,0,0,0,1
1,United States,California,Rosemead,91770,Male,No,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.4,401.1,1,3676,5,High,New,80.22,0,0,0,1
1,United States,California,San Dimas,91773,Female,No,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.05,5624.85,1,4839,7,High,Very Loyal,108.17019230769232,1,0,1,1
1,United States,California,West Covina,91791,Male,No,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,95.15,1779.95,1,4643,5,High,Regular,98.88611111111112,1,0,0,1
1,United States,California,Alhambra,91803,Male,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.0,70.0,1,4094,2,Medium,New,70.0,0,0,0,1
1,United States,California,Alpine,91901,Male,Yes,No,No,8,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,606.55,1,4345,3,High,New,75.81875,0,0,0,1
1,United States,California,Bonita,91902,Male,No,No,No,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.85,435.4,1,4061,2,Medium,New,43.54,0,0,0,1
1,United States,California,Boulevard,91905,Male,Yes,No,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.1,1712.7,1,2018,3,High,Regular,71.3625,0,0,1,1
1,United States,California,Guatay,91931,Female,No,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.6,73.6,1,2565,3,High,New,73.6,0,0,0,1
1,United States,California,Jacumba,91934,Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,396.1,1,3677,5,High,New,99.025,0,0,0,1
1,United States,California,Mount Laguna,91948,Male,Yes,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,2303.35,1,4105,3,High,Loyal,71.9796875,0,0,1,1
1,United States,California,Borrego Springs,92004,Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.6,415.55,1,5715,3,High,New,83.11,1,0,0,1
1,United States,California,Carlsbad,92009,Female,No,Yes,No,38,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),80.3,3058.65,1,2071,7,High,Loyal,80.49078947368422,0,0,1,1
1,United States,California,Del Mar,92014,Male,Yes,Yes,No,24,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.15,2231.05,1,2212,5,High,Regular,92.96041666666667,0,0,1,1
1,United States,California,El Cajon,92020,Female,Yes,No,No,54,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),82.45,4350.1,1,4149,8,High,Very Loyal,80.55740740740741,0,0,1,1
1,United States,California,Escondido,92029,Female,Yes,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.35,139.05,1,2671,2,High,New,69.525,0,0,0,1
1,United States,California,Oceanside,92057,Female,No,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.85,511.25,1,2473,3,High,New,73.03571428571429,0,0,0,1
1,United States,California,Pala,92059,Female,No,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,80.6,155.8,1,2683,4,High,New,77.9,0,0,0,1
1,United States,California,Palomar Mountain,92060,Male,No,Yes,No,68,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),75.8,5293.95,1,4903,7,High,Very Loyal,77.85220588235293,1,0,1,1
1,United States,California,Pauma Valley,92061,Female,No,No,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,104.6,4759.85,1,5250,7,High,Loyal,110.69418604651165,1,0,1,1
1,United States,California,Ranchita,92066,Male,No,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.4,6603.0,1,4352,7,High,Very Loyal,104.8095238095238,0,0,1,1
1,United States,California,Valley Center,92082,Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,168.2,1,4157,4,High,New,84.1,0,0,0,1
1,United States,California,San Diego,92103,Male,No,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.8,371.9,1,4939,5,High,New,92.975,1,0,0,1
1,United States,California,San Diego,92104,Female,Yes,No,No,21,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,41.9,840.1,1,4778,3,Medium,Regular,40.00476190476191,1,0,0,1
1,United States,California,San Diego,92105,Female,No,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.25,846.0,1,3598,3,High,New,84.6,0,0,0,1
1,United States,California,San Diego,92108,Male,Yes,Yes,No,27,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),30.75,805.1,1,2927,2,Low,Loyal,29.81851851851852,0,0,1,1
1,United States,California,San Diego,92116,Male,No,No,No,5,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),96.5,492.55,1,5383,5,High,New,98.51,1,0,0,1
1,United States,California,San Diego,92122,Male,No,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.65,181.5,1,3878,4,High,New,90.75,0,0,0,1
1,United States,California,San Diego,92129,Female,No,Yes,No,25,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.95,2566.5,1,3642,7,High,Loyal,102.66,0,0,1,1
1,United States,California,San Diego,92154,Male,No,No,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,50.65,50.65,1,2431,3,Medium,New,50.65,0,0,0,1
1,United States,California,Indio,92201,Male,No,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.85,90.85,1,3424,5,High,New,90.85,0,0,0,1
1,United States,California,Indian Wells,92210,Male,Yes,Yes,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,214.75,1,5888,1,Low,New,19.52272727272728,1,0,0,0
1,United States,California,Palm Desert,92211,Female,Yes,Yes,No,55,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.45,4874.7,1,5502,5,High,Very Loyal,88.63090909090909,1,0,1,1
1,United States,California,Desert Hot Springs,92240,Female,No,No,No,34,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.95,2524.45,1,5795,3,High,Loyal,74.24852941176471,1,0,1,1
1,United States,California,Holtville,92250,Male,No,Yes,No,69,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.45,7007.6,1,4020,6,High,Very Loyal,101.55942028985508,0,0,1,1
1,United States,California,Niland,92257,Female,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.9,19.9,1,3351,1,Low,New,19.9,0,0,0,0
1,United States,California,North Palm Springs,92258,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.6,19.6,1,3448,1,Low,New,19.6,0,0,0,0
1,United States,California,Ocotillo,92259,Male,Yes,No,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,81.35,233.7,1,2818,4,High,New,77.89999999999999,0,0,0,1
1,United States,California,Seeley,92273,Female,No,Yes,No,22,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,83.3,1845.9,1,3804,4,High,Regular,83.90454545454546,0,0,0,1
1,United States,California,Thermal,92274,Female,Yes,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.3,75.3,1,4902,3,High,New,75.3,1,0,0,1
1,United States,California,Adelanto,92301,Female,No,Yes,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.4,1182.55,1,4221,1,Low,Very Loyal,19.38606557377049,0,0,1,0
1,United States,California,Apple Valley,92307,Male,No,No,No,12,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),45.4,518.9,1,2887,2,Medium,New,43.24166666666667,0,0,0,1
1,United States,California,Crestline,92325,Female,No,No,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.9,6396.45,1,4105,7,High,Very Loyal,106.6075,0,0,1,1
1,United States,California,Daggett,92327,Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,69.55,69.55,1,2792,2,Medium,New,69.55,0,0,0,1
1,United States,California,Ludlow,92338,Female,No,Yes,No,28,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,81.05,2227.1,1,5201,3,High,Loyal,79.53928571428571,1,0,1,1
1,United States,California,Lucerne Valley,92356,Male,No,Yes,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,101.15,385.9,1,4417,6,High,New,96.475,0,0,0,1
1,United States,California,Lytle Creek,92358,Male,No,No,No,7,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.8,673.25,1,2031,6,High,New,96.17857142857144,0,0,0,1
1,United States,California,Phelan,92371,Female,No,Yes,No,13,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,55.95,734.35,1,4498,3,Medium,Regular,56.48846153846154,0,0,0,1
1,United States,California,Redlands,92373,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,55.0,55.0,1,4877,3,Medium,New,55.0,1,0,0,1
1,United States,California,Rialto,92377,Female,No,Yes,No,1,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.7,74.7,1,5980,3,High,New,74.7,1,0,0,1
1,United States,California,Running Springs,92382,Male,No,No,No,24,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,80.25,1861.5,1,4418,4,High,Regular,77.5625,0,0,1,1
1,United States,California,Tecopa,92389,Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,96.1,453.4,1,4192,5,High,New,90.68,0,0,0,1
1,United States,California,Victorville,92392,Female,No,No,No,15,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),69.0,994.8,1,5671,2,Medium,Regular,66.32,1,0,0,1
1,United States,California,Wrightwood,92397,Female,No,Yes,No,48,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),45.3,2145.0,1,4926,4,Medium,Loyal,44.6875,1,0,1,1
1,United States,California,San Bernardino,92401,Female,No,Yes,No,8,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.55,680.05,1,2879,4,High,New,85.00625,0,0,0,1
